metric,occurrences,total_possible,missing_ratio
Assets,48780,48971,0.0039002675052581814
LiabilitiesAndStockholdersEquity,48718,48971,0.005166322925813205
IncomeTaxExpenseBenefit,45994,48018,0.04215086009413138
CashAndCashEquivalentsAtCarryingValue,45028,48041,0.06271726233841923
RetainedEarningsAccumulatedDeficit,44954,46743,0.03827311041225423
StockholdersEquity,43979,47556,0.0752165867608714
AccumulatedOtherComprehensiveIncomeLossNetOfTax,43274,47035,0.07996173062612943
NetIncomeLoss,43088,48564,0.11275842187628693
NetCashProvidedByUsedInFinancingActivities,42831,48971,0.12538032713238445
NetCashProvidedByUsedInInvestingActivities,42761,48970,0.1267919134163774
NetCashProvidedByUsedInOperatingActivities,42640,48838,0.12690937384823298
AssetsCurrent,39997,40384,0.009583003169572057
LiabilitiesCurrent,39967,40384,0.010325871632329675
ComprehensiveIncomeNetOfTax,39889,46987,0.15106305999531788
PropertyPlantAndEquipmentNet,39640,43968,0.09843522561863172
OperatingIncomeLoss,38923,42479,0.08371195178794233
ShareBasedCompensation,37623,43276,0.13062667529346517
OtherAssetsNoncurrent,37005,39394,0.06064375285576484
CommonStockValue,36958,42676,0.13398631549348583
Goodwill,36614,42226,0.13290389807227776
OtherLiabilitiesNoncurrent,34755,38244,0.09122999686225286
Liabilities,34482,37530,0.08121502797761793
PaymentsToAcquirePropertyPlantAndEquipment,32933,38259,0.13920907498889146
AccountsPayableCurrent,31555,35154,0.10237810775445189
InterestExpense,30355,42079,0.27861878846930777
ProfitLoss,29325,39873,0.26453991422767287
AccountsReceivableNetCurrent,28951,33239,0.1290050843888204
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,28693,38109,0.24708074208192288
OtherNonoperatingIncomeExpense,28386,38024,0.25347149168945926
InventoryNet,27099,30867,0.1220721158518806
DepreciationDepletionAndAmortization,26803,36682,0.2693146502371735
IncreaseDecreaseInInventories,24867,29975,0.17040867389491243
IncreaseDecreaseInAccountsReceivable,24214,29580,0.1814063556457065
MinorityInterest,23972,33006,0.27370781070108463
IntangibleAssetsNetExcludingGoodwill,23746,33691,0.29518268973909945
SellingGeneralAndAdministrativeExpense,23473,26063,0.09937459233396007
AdditionalPaidInCapitalCommonStock,22426,27159,0.17427003939762142
OtherAssetsCurrent,21447,28537,0.24844938150471318
TreasuryStockValue,20822,29179,0.2864046060522979
PaymentsOfDividendsCommonStock,20463,27019,0.24264406528739035
AdditionalPaidInCapital,19240,27066,0.28914505283381364
AccruedLiabilitiesCurrent,18178,23882,0.2388409680931245
GrossProfit,17736,24356,0.27180160945968135
IncreaseDecreaseInAccountsPayable,17414,22078,0.2112510191140502
CostsAndExpenses,17078,22202,0.23079001891721462
OtherLiabilitiesCurrent,17072,23390,0.2701154339461308
PrepaidExpenseAndOtherAssetsCurrent,16842,22098,0.2378495791474342
GeneralAndAdministrativeExpense,16364,19107,0.14355995185010728
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,16116,21189,0.2394166784652414
