,cik,name,ticker,exchange,Sector,Industry
0,1045810,NVIDIA CORP,NVDA,Nasdaq,Technology,Semiconductors
1,1652044,Alphabet Inc.,GOOGL,Nasdaq,Communication Services,Internet Content & Information
2,320193,Apple Inc.,AAPL,Nasdaq,Technology,Consumer Electronics
3,789019,MICROSOFT CORP,MSFT,Nasdaq,Technology,Software - Infrastructure
4,1018724,AMAZON COM INC,AMZN,Nasdaq,Consumer Cyclical,Internet Retail
5,1326801,"Meta Platforms, Inc.",META,Nasdaq,Communication Services,Internet Content & Information
6,1730168,Broadcom Inc.,AVGO,Nasdaq,Technology,Semiconductors
7,1318605,"Tesla, Inc.",TSLA,Nasdaq,Consumer Cyclical,Auto Manufacturers
8,1067983,BERKSHIRE HATHAWAY INC,BRK-B,NYSE,Financial Services,Insurance - Diversified
9,104169,Walmart Inc.,WMT,Nasdaq,Consumer Defensive,Discount Stores
10,59478,ELI LILLY & Co,LLY,NYSE,Healthcare,Drug Manufacturers - General
11,19617,JPMORGAN CHASE & CO,JPM,NYSE,Financial Services,Banks - Diversified
12,34088,EXXON MOBIL CORP,XOM,NYSE,Energy,Oil & Gas Integrated
13,884394,SPDR S&P 500 ETF TRUST,SPY,NYSE,,
14,1403161,VISA INC.,V,NYSE,Financial Services,Credit Services
15,200406,JOHNSON & JOHNSON,JNJ,NYSE,Healthcare,Drug Manufacturers - General
16,937966,ASML HOLDING NV,ASML,Nasdaq,Technology,Semiconductor Equipment & Materials
17,723125,MICRON TECHNOLOGY INC,MU,Nasdaq,Technology,Semiconductors
18,1141391,Mastercard Inc,MA,NYSE,Financial Services,Credit Services
19,1341439,ORACLE CORP,ORCL,NYSE,Technology,Software - Infrastructure
20,909832,COSTCO WHOLESALE CORP /NEW,COST,Nasdaq,Consumer Defensive,Discount Stores
21,1065280,NETFLIX INC,NFLX,Nasdaq,Communication Services,Entertainment
22,93410,CHEVRON CORP,CVX,NYSE,Energy,Oil & Gas Integrated
23,1551152,AbbVie Inc.,ABBV,NYSE,Healthcare,Drug Manufacturers - General
24,2070829,"Contemporary Amperex Technology Co., Limited/ADR",CYATY,OTC,Industrials,Electrical Equipment & Parts
25,1321655,Palantir Technologies Inc.,PLTR,Nasdaq,Technology,Software - Infrastructure
26,80424,PROCTER & GAMBLE Co,PG,NYSE,Consumer Defensive,Household & Personal Products
27,70858,BANK OF AMERICA CORP /DE/,BAC,NYSE,Financial Services,Banks - Diversified
28,354950,"HOME DEPOT, INC.",HD,NYSE,Consumer Cyclical,Home Improvement Retail
29,21344,COCA COLA CO,KO,NYSE,Consumer Defensive,Beverages - Non-Alcoholic
30,18230,CATERPILLAR INC,CAT,NYSE,Industrials,Farm & Heavy Construction Machinery
31,1577552,Alibaba Group Holding Ltd,BABA,NYSE,Consumer Cyclical,Internet Retail
32,2488,ADVANCED MICRO DEVICES INC,AMD,Nasdaq,Technology,Semiconductors
33,40545,GENERAL ELECTRIC CO,GE,NYSE,Industrials,Aerospace & Defense
34,858877,"CISCO SYSTEMS, INC.",CSCO,Nasdaq,Technology,Communication Equipment
35,1114448,NOVARTIS AG,NVS,NYSE,Healthcare,Drug Manufacturers - General
36,901832,ASTRAZENECA PLC,AZN,NYSE,Healthcare,Drug Manufacturers - General
37,310158,"Merck & Co., Inc.",MRK,NYSE,Healthcare,Drug Manufacturers - General
38,707549,LAM RESEARCH CORP,LRCX,Nasdaq,Technology,Semiconductor Equipment & Materials
39,6951,APPLIED MATERIALS INC /DE,AMAT,Nasdaq,Technology,Semiconductor Equipment & Materials
40,1089113,HSBC HOLDINGS PLC,HSBC,NYSE,Financial Services,Banks - Diversified
41,1094517,TOYOTA MOTOR CORP/,TM,NYSE,Consumer Cyclical,Auto Manufacturers
42,101829,RTX Corp,RTX,NYSE,Industrials,Aerospace & Defense
43,1413329,Philip Morris International Inc.,PM,NYSE,Consumer Defensive,Tobacco
44,731766,UNITEDHEALTH GROUP INC,UNH,NYSE,Healthcare,Healthcare Plans
45,1306965,Shell plc,SHEL,NYSE,Energy,Oil & Gas Integrated
46,895421,MORGAN STANLEY,MS,NYSE,Financial Services,Capital Markets
47,886982,GOLDMAN SACHS GROUP INC,GS,NYSE,Financial Services,Capital Markets
48,51143,INTERNATIONAL BUSINESS MACHINES CORP,IBM,NYSE,Technology,Information Technology Services
49,72971,WELLS FARGO & COMPANY/MN,WFC,NYSE,Financial Services,Banks - Diversified
50,1283699,"T-Mobile US, Inc.",TMUS,Nasdaq,Communication Services,Telecom Services
